case_id,variant,service,attack_type,attack_severity,rho,mask_id,scenario_name,scenario_path,preferred_recovery_action,primary_model,fallback_model,recovery_success,recovery_strategy,replanned,trusted_service_restore_sec,preferred_restore_sec,planning_overhead_sec,repeated_work_sec,n_assignments,ablation_failure_reason
rq3f_00313,full_replica,detection,pgd,0.0,0.8,19,rho_0.800_mask_19,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_19.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00317,full_replica,detection,pgd,0.0,0.8,20,rho_0.800_mask_20,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_20.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00321,full_replica,detection,pgd,0.0,1.0,0,rho_1.000_nominal,experiment2/generated/scenarios_multimask_FROZEN/rho_1.000_nominal.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00325,full_replica,detection,patch,0.0,0.333,1,rho_0.333_mask_01,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_01.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00329,full_replica,detection,patch,0.0,0.333,2,rho_0.333_mask_02,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_02.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00333,full_replica,detection,patch,0.0,0.333,3,rho_0.333_mask_03,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_03.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00337,full_replica,detection,patch,0.0,0.333,4,rho_0.333_mask_04,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_04.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00341,full_replica,detection,patch,0.0,0.333,5,rho_0.333_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_05.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00345,full_replica,detection,patch,0.0,0.333,6,rho_0.333_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_06.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00349,full_replica,detection,patch,0.0,0.333,7,rho_0.333_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_07.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00353,full_replica,detection,patch,0.0,0.333,8,rho_0.333_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_08.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00357,full_replica,detection,patch,0.0,0.333,9,rho_0.333_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_09.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00361,full_replica,detection,patch,0.0,0.333,10,rho_0.333_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_10.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00365,full_replica,detection,patch,0.0,0.333,11,rho_0.333_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_11.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00369,full_replica,detection,patch,0.0,0.333,12,rho_0.333_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_12.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00373,full_replica,detection,patch,0.0,0.333,13,rho_0.333_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_13.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00377,full_replica,detection,patch,0.0,0.333,14,rho_0.333_mask_14,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_14.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00381,full_replica,detection,patch,0.0,0.333,15,rho_0.333_mask_15,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_15.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00385,full_replica,detection,patch,0.0,0.333,16,rho_0.333_mask_16,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_16.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00389,full_replica,detection,patch,0.0,0.333,17,rho_0.333_mask_17,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_17.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00393,full_replica,detection,patch,0.0,0.333,18,rho_0.333_mask_18,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_18.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00397,full_replica,detection,patch,0.0,0.333,19,rho_0.333_mask_19,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_19.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00401,full_replica,detection,patch,0.0,0.333,20,rho_0.333_mask_20,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_20.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
